"study","group_1","group_2","combination","condition","RR","DET","maxL","L","ENTR","LAM","TT"
"Study2","10","6","b","Synchronous",4.41296025072319,77.3885261731525,34,3.61107711705698,1.69879836842467,86.8889851421214,4.16489523809524
"Study2","10","6","b","TurnTaking",3.90723859386267,75.1485557330844,35,3.17934111838982,1.46877953606971,85.4168536703589,3.7021280734516
"Study2","10","6","c","Conversation",4.84392579873123,83.2724534531382,48,3.55096716427127,1.68586100279315,93.8228341183157,5.46598051208504
"Study2","10","6","c","Synchronous",4.76899432954836,84.0384770953911,46,4.12128753043008,1.90765088906986,89.6684733447568,5.14737730870712
"Study2","10","6","c","TurnTaking",4.12729827249031,81.4854627572113,27,3.40684620030554,1.60960828106894,90.6641287214109,4.45263333611552
"Study2","10","6","d","Conversation",4.11863547216821,67.6727679920977,24,2.90228982543277,1.30145047442705,84.702831815453,3.69404315371189
"Study2","10","6","d","Synchronous",4.50420023063391,76.4843062595872,40,3.67696713333833,1.75552142791789,86.7496710193339,4.27087326535306
"Study2","10","6","d","TurnTaking",3.89129833982868,66.5588117330545,31,3.00635075720567,1.3608787119841,84.9037642573557,3.70189020316737
"Study2","10","7","a","Conversation",4.17196254864496,79.1314289557308,41,3.3302671148063,1.56960250735797,91.3516989760748,4.81955470794341
"Study2","10","7","a","Synchronous",5.60316588526103,87.3620991290142,48,3.98643302914757,1.86539158888361,92.3392056283898,5.24571072984265
"Study2","10","7","a","TurnTaking",3.87051814067546,85.3772687320472,33,3.63817669318094,1.70590313600923,94.1187397493634,5.55253521503221
"Study2","10","7","b","Conversation",4.02332713259205,71.2398444855121,32,3.04733760906854,1.4001283610374,85.029551239583,3.64569901515576
"Study2","10","7","b","Synchronous",4.08594830658036,66.6313309270696,29,2.93995227995758,1.33366475373305,85.6169233872525,4.13005672642955
"Study2","10","7","b","TurnTaking",3.71474555917499,65.1625085561876,25,2.93995995910717,1.32376945480322,84.8051549555078,3.70360367789552
"Study2","10","7","c","Conversation",4.39407394313836,75.7820045176275,35,3.23118023414103,1.51767303160492,86.7564072888648,4.11869801633163
"Study2","10","7","c","Synchronous",4.20431652960503,72.5200518867334,30,3.09413983948179,1.43597863069643,78.1625255992626,3.36820820676888
"Study2","10","7","c","TurnTaking",4.35097037392434,73.6409582614584,32,3.20620130553801,1.49149148206389,81.1277789421077,3.87672129884637
"Study2","10","7","d","Conversation",4.23817860940661,74.5949256053359,26,3.13963289331615,1.4531210683739,84.7755747173996,3.72247960611181
"Study2","10","7","d","Synchronous",4.1954257608534,75.1602952609448,28,3.36693691838149,1.58865456258358,84.7174038437424,4.08289351758591
"Study2","10","7","d","TurnTaking",3.45621182405607,78.009761938587,34,3.2935821087357,1.53289598967945,84.793395977513,3.71908937155065
"Study2","10","8","a","Conversation",4.12365077761785,70.5306757727947,34,3.08538740582271,1.41649086395952,81.8820087347387,3.88978000444435
"Study2","10","8","a","Synchronous",4.09464617896854,66.8028556867481,24,3.15074635910073,1.4688674789336,72.171615295997,3.50273326266342
"Study2","10","8","a","TurnTaking",4.08082778493248,81.0434401467915,35,3.29928450221297,1.55440171606908,89.6283372938967,4.1011247001455
"Study2","10","8","b","Conversation",3.93585739978508,57.7627381440359,31,2.74997878839301,1.17852272163553,84.3560086257597,3.65993311554001
"Study2","10","8","b","Synchronous",4.39067195272847,75.6418244268712,40,3.41456027115711,1.60685850096056,86.3575365444524,4.23707158393917
"Study2","10","8","b","TurnTaking",3.71783190099015,63.4160491672602,29,2.85484658668648,1.2500291707323,84.1060133672309,3.65517382748442
"Study2","10","8","c","Conversation",4.14292287792957,65.462726241471,41,3.05924358112118,1.39091280417103,74.9746033896009,3.555950373404
"Study2","10","8","c","Synchronous",5.14952624653137,84.0632172556818,39,3.77812299121491,1.780795598518,89.8060302260483,4.65433013889624
"Study2","10","8","c","TurnTaking",4.40308746412128,70.3952399158861,25,2.9676130353755,1.34401548174869,78.1522812719047,3.361443719273
"Study2","10","8","d","Conversation",4.32727919328636,68.5372723036087,27,2.9756320706582,1.34732024554976,85.6798978785484,3.73725982359076
"Study2","10","8","d","Synchronous",4.38779604330979,63.6010486939284,28,3.03320245492319,1.39544649334531,86.6291524123158,4.26634125218966
"Study2","10","8","d","TurnTaking",4.10748255515433,74.230140331553,34,3.1606405991529,1.46823133378761,85.5651045335588,3.81316590563166
"Study2","10","9","a","Conversation",4.17268152599962,74.2449012183283,41,3.25038637032676,1.49828351703485,84.7580784117605,3.94934106174242
