"study","group_1","group_2","combination","condition","RR","DET","maxL","L","ENTR","LAM","TT"
"Study2","10","5","b","Synchronous",2.72372752285737,95.5749292788904,134,13.8864864864865,3.00681442690025,96.5745010915268,19.3069042941342
"Study2","10","5","b","TurnTaking",1.91338316665612,88.7116919971622,95,6.69987170779564,2.28810811914172,90.4713370704557,7.82211663066955
"Study2","10","5","c","Conversation",6.12585842413795,97.8936034081865,209,15.7260466282276,2.89509320391074,98.9023267427163,20.5958663720265
"Study2","10","5","c","Synchronous",4.36148960044693,97.4566240871113,208,10.9344875073775,2.47317383641731,99.4161019103813,21.8130229874002
"Study2","10","5","c","TurnTaking",4.86552669610882,97.4733284869442,161,13.2912714997589,2.68553743576271,98.6183861524255,18.6913681388248
"Study2","10","5","d","Conversation",0.613780786785789,85.4561878952123,94,4.72185886402754,1.86274372090046,96.4084353487213,8.96841495218777
"Study2","10","5","d","Synchronous",1.22455987330913,87.7531265125139,101,6.77005540833534,2.10045950076125,96.4168058829958,12.4654824384336
"Study2","10","5","d","TurnTaking",2.33299027277043,89.2135973251164,117,6.42140034212234,2.09857822571929,95.3271487576214,9.94460117978969
"Study2","10","6","a","Conversation",3.58735683849457,94.7157201330264,187,10.053003733454,2.433021877576,95.789630766607,12.775037316085
"Study2","10","6","a","Synchronous",6.57320735879247,97.5468509582523,283,13.238946786673,2.63814703359213,98.9648141522907,21.8287034066851
"Study2","10","6","a","TurnTaking",2.46322964976276,91.3797385823838,140,6.09053285049146,1.95295240103547,92.3973113105033,6.31785373102643
"Study2","10","6","b","Conversation",0.91685691774328,91.8340110520279,127,7.09162640901771,2.11654333992697,96.7740590136586,11.2695483244293
"Study2","10","6","b","Synchronous",0.640432826058735,86.4764008717199,80,5.02986629623198,1.87367751315379,94.7846075767979,7.55412800380681
"Study2","10","6","b","TurnTaking",0.936358409894216,87.7039305768249,125,6.34742130929511,2.04725627800573,95.107708014293,8.38958933717579
"Study2","10","6","c","Conversation",1.84254686428434,94.1082472087328,104,6.6108316932721,2.03937070956008,96.2613622213921,7.2238747858589
"Study2","10","6","c","Synchronous",1.18544217434755,89.9537119171653,112,6.03745399437108,1.98193666228177,92.735835362805,6.58787809349221
"Study2","10","6","c","TurnTaking",2.47615416809024,93.4353573414047,157,8.69012567324955,2.34363567688674,94.4414417196862,9.29712678625722
"Study2","10","6","d","Conversation",1.56828323202436,90.8968998012849,137,7.01807228915663,2.13210646820199,96.3963085325563,12.2514719553765
"Study2","10","6","d","Synchronous",3.79611840005935,95.1574154751172,261,11.8514615481119,2.62018488391162,96.8174423699704,14.9097960133406
"Study2","10","6","d","TurnTaking",0.850360653330578,84.6954605751287,114,4.25457420374972,1.64825286933473,94.9322121545968,7.94262603461249
"Study2","10","7","a","Conversation",5.02157687153621,96.7511526878282,213,12.8730496453901,2.70323310673209,98.1583646491298,15.3513159461713
"Study2","10","7","a","Synchronous",4.65967123925673,96.4914368245267,278,12.4203549170804,2.68487164782834,98.3784537867535,14.7357875975662
"Study2","10","7","a","TurnTaking",5.12290815428128,97.1800393361374,224,14.8227358114647,2.85959996889207,98.2089741628009,16.9630632372849
"Study2","10","7","b","Conversation",2.82314689460724,95.5634866349273,201,9.33267195767196,2.47358530476917,97.8965332755433,12.4455445544554
"Study2","10","7","b","Synchronous",2.39774669817751,93.9303569862293,205,8.975845778726,2.34307475199632,96.4859541826475,11.2238196827753
"Study2","10","7","b","TurnTaking",3.26353647323927,94.3261372623685,190,9.21215242018538,2.4363977070218,96.326781686634,11.1489693517765
"Study2","10","7","c","Conversation",4.57675165939535,96.9270744127562,250,12.1906688383334,2.71897229384379,98.4752340411311,14.0701325056703
